suburb,price
FITZROY NORTH,1600000
FIVEWAYS,670000
FLEMINGTON,1027500
FLINDERS,2125000
FLORA HILL,520000
FLOWERDALE,595000
FOOTSCRAY,902000
FOREST HILL,1250500
FOSTER,590000
FRANKSTON,735000
FRANKSTON NORTH,574000
FRANKSTON SOUTH,1150000
FRASER RISE,716000
FYANSFORD,950000
GARDEN CITY,1616000
GARDENVALE,2300000
GARFIELD,820000
GEELONG,982500
GEELONG WEST,910000
GEMBROOK,852500
GISBORNE,1000000
GLADSTONE PARK,710000
GLEN HUNTLY,1735500
GLEN IRIS,2500000
GLEN WAVERLEY,1660000
GLENGARRY,590000
GLENROWAN,595000
GLENROY,795000
GOLDEN BEACH,395000
GOLDEN POINT (BALLARAT),570000
GOLDEN SQUARE,515000
GORDON,675000
GOUGHS BAY,580000
GOWANBRAE,865000
GRANTVILLE,595000
GREEN LAKE,433000
GREENSBOROUGH,970000
GREENVALE,845000
GROVEDALE,660000
HADFIELD,860000
HALLAM,714000
HALLS GAP,555000
HAMILTON,370000
HAMLYN HEIGHTS,740000
HAMPTON,2370000
HAMPTON EAST,1475000
HAMPTON PARK,644500
HARCOURT,697500
HARKNESS,580000
HASTINGS,715000
HASTINGS WEST,605000
HAWTHORN,2720000
HAWTHORN EAST,2750000
HEALESVILLE,810000
HEATHCOTE,485000
HEATHCOTE JUNCTION,815000
HEATHERTON,1150000
HEATHMONT,1068000
HEIDELBERG,1437500
HEIDELBERG HEIGHTS,1002000
HEIDELBERG WEST,750000
HEPBURN,737500
HEPBURN SPRINGS,780000
HERNE HILL,715000
HEYFIELD,390000
HEYWOOD,330000
HIGHETT,1455000
HIGHTON,911000
HILLSIDE (BRIMBANK),548000
HILLSIDE (MELTON),759000
HOPETOUN,171000
HOPPERS CROSSING,615000
HORSHAM,400000
HUGHESDALE,1400000
HUNTINGDALE,1195000
HUNTLY,565000
HURSTBRIDGE,896500
INDENTED HEAD,820000
INGLEWOOD,325000
INVERLOCH,950000
INVERMAY PARK,695000
IRONBARK,530000
IRYMPLE,496500
IVANHOE,1732500
IVANHOE EAST,2406500
JACANA,586500
JACKASS FLAT,515000
JAMIESON,582500
JAN JUC,1290000
JEERALANG NORTH,366000
JEPARIT,215000
JOLIMONT,4533500
JUNCTION VILLAGE,645000
JUNORTOUN,865000
KALIMNA,462500
KALKALLO,640000
KALLISTA,832500
KALORAMA,885000
KANGAROO FLAT,500000
KANGAROO GROUND SOUTH,1100000
KANIVA,200000
KATUNGA,290000
KEALBA,670000
KEILOR,1132500
KEILOR DOWNS,770000
KEILOR EAST,980000
KEILOR LODGE,920000
KEILOR PARK,795000
KENNINGTON,610000
KENSINGTON,1040000
KERANG,280000
KEW,2905000
KEW EAST,2200000
KEW NORTH,2237500
KEYSBOROUGH,913500
KIALLA,650000
KILCUNDA,810000
KILLARA (WODONGA),650000
KILMORE,590000
KILSYTH,810000
KILSYTH SOUTH,1045000
KINGLAKE,662500
KINGS PARK,600000
KINGSBURY,785000
KINGSVILLE,1200000
KNOXFIELD,950000
KOO WEE RUP,668500
KOONDROOK,320000
KOROIT,582500
KORUMBURRA,550000
KURUNJANG,520000
KYABRAM,455000
KYNETON,775000
LAKE BOGA,446000
LAKE BUNGA,525000
LAKE GARDENS,785000
LAKE TYERS BEACH,590000
LAKE WENDOUREE,1300000
